--------- dfsSolution.txt ---------
[[9, 8, 7], [6, 5, 4], [3, 2, 1]]
[[9, 8, 7], [6, 5, 1], [3, 2, 4]]
[[9, 8, 1], [6, 5, 7], [3, 2, 4]]
[[9, 5, 1], [6, 8, 7], [3, 2, 4]]
[[9, 5, 1], [6, 2, 7], [3, 8, 4]]
[[5, 9, 1], [6, 2, 7], [3, 8, 4]]
[[5, 2, 1], [6, 9, 7], [3, 8, 4]]
[[5, 2, 1], [6, 7, 9], [3, 8, 4]]
[[5, 2, 1], [6, 7, 4], [3, 8, 9]]
[[5, 2, 1], [7, 6, 4], [3, 8, 9]]
[[5, 2, 1], [3, 6, 4], [7, 8, 9]]
[[5, 2, 1], [3, 4, 6], [7, 8, 9]]
[[3, 2, 1], [5, 4, 6], [7, 8, 9]]
[[2, 3, 1], [5, 4, 6], [7, 8, 9]]
[[2, 1, 3], [5, 4, 6], [7, 8, 9]]
[[1, 2, 3], [5, 4, 6], [7, 8, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
