--------- dfsSearch.txt ---------
[[7, 9, 3], [4, 6, 1], [8, 5, 2]]
[[7, 6, 3], [4, 9, 1], [8, 5, 2]]
[[7, 6, 3], [4, 5, 1], [8, 9, 2]]
[[4, 9, 3], [7, 6, 1], [8, 5, 2]]
[[4, 6, 3], [7, 5, 1], [8, 9, 2]]
[[7, 9, 1], [4, 6, 3], [8, 5, 2]]
[[7, 3, 9], [4, 6, 1], [8, 5, 2]]
[[7, 3, 1], [4, 6, 9], [8, 5, 2]]
[[7, 3, 1], [4, 6, 2], [8, 5, 9]]
[[4, 3, 1], [7, 6, 2], [8, 5, 9]]
[[4, 3, 1], [7, 2, 6], [8, 5, 9]]
[[4, 3, 1], [7, 6, 2], [5, 8, 9]]
[[4, 3, 1], [7, 5, 2], [8, 6, 9]]
[[4, 3, 1], [5, 6, 2], [7, 8, 9]]
[[4, 3, 1], [2, 7, 6], [8, 5, 9]]
[[4, 3, 1], [2, 5, 6], [8, 7, 9]]
[[2, 3, 1], [4, 5, 6], [8, 7, 9]]
[[2, 1, 3], [4, 5, 6], [8, 7, 9]]
[[2, 1, 3], [4, 5, 6], [7, 8, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
