--------- dfsSearch.txt ---------
[[3, 7, 9], [2, 5, 6], [1, 8, 4]]
[[7, 3, 9], [2, 5, 6], [1, 8, 4]]
[[2, 3, 9], [7, 5, 6], [1, 8, 4]]
[[2, 3, 9], [1, 5, 6], [7, 8, 4]]
[[2, 3, 9], [1, 5, 6], [7, 4, 8]]
[[2, 3, 9], [1, 5, 4], [7, 8, 6]]
[[3, 2, 9], [1, 5, 6], [7, 8, 4]]
[[1, 3, 9], [2, 5, 6], [7, 8, 4]]
[[2, 3, 6], [1, 5, 9], [7, 8, 4]]
[[2, 3, 6], [1, 5, 4], [7, 8, 9]]
[[2, 3, 6], [1, 4, 5], [7, 8, 9]]
[[2, 3, 4], [1, 5, 6], [7, 8, 9]]
[[2, 4, 3], [1, 5, 6], [7, 8, 9]]
[[4, 2, 3], [1, 5, 6], [7, 8, 9]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
