--------- dfsSearch.txt ---------
[[7, 3, 9], [4, 5, 6], [2, 1, 8]]
[[7, 3, 9], [4, 5, 6], [1, 2, 8]]
[[7, 3, 9], [4, 5, 6], [1, 8, 2]]
[[7, 3, 9], [4, 2, 6], [1, 5, 8]]
[[7, 3, 6], [4, 5, 9], [1, 2, 8]]
[[7, 9, 3], [4, 5, 6], [1, 2, 8]]
[[7, 3, 9], [1, 5, 6], [4, 2, 8]]
[[1, 3, 9], [7, 5, 6], [4, 2, 8]]
[[1, 3, 9], [4, 5, 6], [7, 2, 8]]
[[1, 3, 9], [4, 5, 6], [7, 8, 2]]
[[1, 3, 9], [4, 2, 6], [7, 5, 8]]
[[1, 9, 3], [4, 5, 6], [7, 2, 8]]
[[1, 3, 6], [4, 5, 9], [7, 2, 8]]
[[1, 3, 6], [4, 5, 8], [7, 2, 9]]
[[1, 3, 9], [7, 5, 6], [4, 8, 2]]
[[1, 3, 6], [7, 5, 9], [4, 2, 8]]
[[1, 3, 9], [7, 2, 6], [4, 5, 8]]
[[1, 9, 3], [7, 5, 6], [4, 2, 8]]
[[1, 3, 6], [4, 2, 9], [7, 5, 8]]
[[1, 9, 3], [4, 5, 6], [7, 8, 2]]
[[1, 9, 3], [4, 2, 6], [7, 5, 8]]
[[1, 2, 3], [4, 9, 6], [7, 5, 8]]
[[1, 2, 3], [4, 5, 6], [7, 9, 8]]
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
